run_id,run_tag,timestamp,backbone,feature_layers,target_layer,input_size,coreset_frac,coreset_fp16,coreset_algo,coreset_batch,patch_size,knn_k,smooth_sigma,tta,memory_dtype,batch_size,score_batch_size,score_chunk,memory_chunk,project_chunk,seed,n_classes,AP_class_01,AP_class_02,AP_class_03,AP_class_04,AP_class_05,AP_class_06,AP_class_07,AP_class_08,AP_overall,runtime_min,submission_path,notes,AP_pooled
20260515-093627_wrn50_L23_T2_in224_cs05_mb64_exp2-coreset10_979f46,exp2-coreset10,2026-05-15 09:46:33,wide_resnet50_2,2+3,2,224,0.0500,0,minibatch,64,3,9,1.5,none,fp16,32,16,4096,32768,65536,0,8,0.3955,0.4097,0.1245,0.4015,0.3208,0.5042,0.3901,0.3896,0.3670,10.1,/work/u10813429/anomaly-detection/baseline_out/runs/20260515-093627_wrn50_L23_T2_in224_cs05_mb64_exp2-coreset10_979f46/submission.zip,,
20260515-094637_wrn50_L123_T2_in224_cs05_mb64_exp3-multiscale_3fcc18,exp3-multiscale,2026-05-15 09:57:00,wide_resnet50_2,1+2+3,2,224,0.0500,0,minibatch,64,3,9,1.5,none,fp16,32,16,4096,32768,65536,0,8,0.4075,0.4285,0.1411,0.3999,0.3344,0.4962,0.3830,0.3987,0.3737,10.4,/work/u10813429/anomaly-detection/baseline_out/runs/20260515-094637_wrn50_L123_T2_in224_cs05_mb64_exp3-multiscale_3fcc18/submission.zip,,
20260515-095705_wrn50_L123_T2_in224_cs05_mb64_tta-hvflip_exp4-tta-hvflip_6fa3df,exp4-tta-hvflip,2026-05-15 10:08:45,wide_resnet50_2,1+2+3,2,224,0.0500,0,minibatch,64,3,9,1.5,hvflip,fp16,32,16,4096,32768,65536,0,8,0.4329,0.4512,0.1236,0.4293,0.3806,0.5151,0.4227,0.4153,0.3964,11.7,/work/u10813429/anomaly-detection/baseline_out/runs/20260515-095705_wrn50_L123_T2_in224_cs05_mb64_tta-hvflip_exp4-tta-hvflip_6fa3df/submission.zip,,
20260515-100850_wrn50_L123_T2_in384_cs05_mb128_tta-hvflip_exp5-input384-mb128_1fe0a2,exp5-input384-mb128,2026-05-15 11:04:25,wide_resnet50_2,1+2+3,2,384,0.0500,1,minibatch,128,3,9,1.5,hvflip,fp16,16,8,4096,16384,65536,0,8,0.5163,0.4559,0.1744,0.4528,0.4163,0.4936,0.4071,0.4797,0.4245,55.6,/work/u10813429/anomaly-detection/baseline_out/runs/20260515-100850_wrn50_L123_T2_in384_cs05_mb128_tta-hvflip_exp5-input384-mb128_1fe0a2/submission.zip,,
20260515-110430_wrn50_L123_T2_in384_cs05_mb128_tta-d4_exp6-d4tta-mb128_f3c3bb,exp6-d4tta-mb128,2026-05-15 12:22:26,wide_resnet50_2,1+2+3,2,384,0.0500,1,minibatch,128,3,9,1.5,d4,fp16,16,8,4096,16384,65536,0,8,0.4432,0.4634,0.1923,0.3405,0.4002,0.4833,0.4239,0.4954,0.4053,77.9,/work/u10813429/anomaly-detection/baseline_out/runs/20260515-110430_wrn50_L123_T2_in384_cs05_mb128_tta-d4_exp6-d4tta-mb128_f3c3bb/submission.zip,,
20260515-122231_dnv2s14_L3_6_9_11_T3_in518_cs05_mb128_tta-hvflip_exp7-dinov2s14-in518_d4576a,exp7-dinov2s14-in518,2026-05-15 12:51:11,dinov2_vits14,3+6+9+11,3,518,0.0500,1,minibatch,128,3,9,1.5,hvflip,fp16,8,4,4096,16384,65536,0,8,0.5768,0.4200,0.2776,0.5238,0.4569,0.5543,0.3836,0.5062,0.4624,28.7,/work/u10813429/anomaly-detection/baseline_out/runs/20260515-122231_dnv2s14_L3_6_9_11_T3_in518_cs05_mb128_tta-hvflip_exp7-dinov2s14-in518_d4576a/submission.zip,,
20260515-125117_dnv2s14_L3_6_9_11_T3_in392_cs05_mb128_tta-hvflip_exp7b-dinov2s14-in392_162ad5,exp7b-dinov2s14-in392,2026-05-15 13:04:19,dinov2_vits14,3+6+9+11,3,392,0.0500,1,minibatch,128,3,9,1.5,hvflip,fp16,16,8,4096,16384,65536,0,8,0.5502,0.4250,0.2245,0.5015,0.4635,0.5584,0.3934,0.5048,0.4527,13.0,/work/u10813429/anomaly-detection/baseline_out/runs/20260515-125117_dnv2s14_L3_6_9_11_T3_in392_cs05_mb128_tta-hvflip_exp7b-dinov2s14-in392_162ad5/submission.zip,,
20260515-130423_cutpaste-patchcore_rn18_in256_it2500_bs64_pc_cs05mb128_tta-hvflip_exp8a-cutpaste-rn18-fast_d2a7c0,exp8a-cutpaste-rn18-fast,2026-05-15 14:35:27,resnet18,1+2+3,2,256,,,,,,,1.5,hvflip,,64,16,,,,0,8,0.3184,0.3019,0.1162,0.3922,0.3628,0.5053,0.3146,0.4027,0.3393,91.1,/work/u10813429/anomaly-detection/baseline_out/runs/20260515-130423_cutpaste-patchcore_rn18_in256_it2500_bs64_pc_cs05mb128_tta-hvflip_exp8a-cutpaste-rn18-fast_d2a7c0/submission.zip,cutpaste v3 scorer=patchcore it2500 bs64,
20260515-143533_cutpaste-patchcore_rn50_in256_it2500_bs32_pc_cs05mb128_tta-hvflip_exp8b-cutpaste-rn50-fast_e9a458,exp8b-cutpaste-rn50-fast,2026-05-15 16:40:48,resnet50,1+2+3,2,256,,,,,,,1.5,hvflip,,32,12,,,,0,8,0.4200,0.3423,0.1367,0.3053,0.3884,0.5224,0.3074,0.4376,0.3575,125.3,/work/u10813429/anomaly-detection/baseline_out/runs/20260515-143533_cutpaste-patchcore_rn50_in256_it2500_bs32_pc_cs05mb128_tta-hvflip_exp8b-cutpaste-rn50-fast_e9a458/submission.zip,cutpaste v3 scorer=patchcore it2500 bs32,
20260515-183145_cutpaste-patchcore_rn18_in256_it2500_bs64_pc_cs05mb128_tta-hvflip_exp8c-cutpaste-rn18-pcnn_d2a7c0,exp8c-cutpaste-rn18-pcnn,2026-05-15 20:27:26,resnet18,1+2+3,2,256,,,,,,,1.5,hvflip,,64,16,,,,0,8,0.2729,0.2166,0.1260,0.3473,0.3949,0.4738,0.3321,0.4601,0.3280,115.7,/work/u10813429/anomaly-detection/baseline_out/runs/20260515-183145_cutpaste-patchcore_rn18_in256_it2500_bs64_pc_cs05mb128_tta-hvflip_exp8c-cutpaste-rn18-pcnn_d2a7c0/submission.zip,cutpaste v3 scorer=patchcore it2500 bs64,
